clasificacion1,clasificacion2,nombreDispositivo,op,paginas,rubro,sector,sumilla,tipoDispositivo,urlPDF,urlPortada,fechaPublicacion
RESOLUCION SUPREMA,,N° 218-2024-PCM,2336206-6,2,558,2066,"Autorizan viaje del Ministro del Ambiente a Colombia y encargan su Despacho al Ministro de Vivienda, Construcción y Saneamiento",RESOLUCION SUPREMA,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/DT2Lu-rAKTBATK65axqvDU/*/2336206-6.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/DT2Lu-rAKTBATK65axqvDU/*/2336206-6_thumb.jpg/JPG,20241019
RESOLUCION SUPREMA,,N° 220-2024-PCM,2336206-8,1,558,2066,Designan Jefe del Instituto Nacional de Estadística e Informática - INEI,RESOLUCION SUPREMA,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/3GPF9HkoK8r9lofE5P71W3/*/2336206-8.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/3GPF9HkoK8r9lofE5P71W3/*/2336206-8_thumb.jpg/JPG,20241019
RESOLUCION SUPREMA,,N° 219-2024-PCM,2336206-7,2,558,2066,Dan por concluido el encargo de funciones de Jefe del Instituto Nacional de Estadística e Informática - INEI,RESOLUCION SUPREMA,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/7Fpzfb0TKcY87RhNAVFL7l/*/2336206-7.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/7Fpzfb0TKcY87RhNAVFL7l/*/2336206-7_thumb.jpg/JPG,20241019
RESOLUCION SUPREMA,,N° 217-2024-PCM,2336206-5,1,558,2066,Modifican la R.S. N° 211-2024-PCM,RESOLUCION SUPREMA,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/3JdaW_8DaJEBTz95rtSK6_/*/2336206-5.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/3JdaW_8DaJEBTz95rtSK6_/*/2336206-5_thumb.jpg/JPG,20241019
RESOLUCION MINISTERIAL,,N° 01147-2024-DE,2336105-1,2,558,2068,"Autorizan viaje de personal militar FAP  a Colombia, en comisión de servicios",RESOLUCION MINISTERIAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/43l60MfNaC191mPPeN_73p/*/2336105-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/43l60MfNaC191mPPeN_73p/*/2336105-1_thumb.jpg/JPG,20241019
RESOLUCION MINISTERIAL,,N° 01148-2024-DE,2336096-1,3,558,2068,"Autorizan viaje de personal naval a Colombia, en misión de estudios",RESOLUCION MINISTERIAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/CvgPHtqu46O8PdpHX_vnq2/*/2336096-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/CvgPHtqu46O8PdpHX_vnq2/*/2336096-1_thumb.jpg/JPG,20241019
RESOLUCION MINISTERIAL,,N° 01145-2024-DE,2336110-1,2,558,2068,"Autorizan viaje de personal de la Marina de Guerra del Perú a México, en comisión de servicios",RESOLUCION MINISTERIAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/527N6lD2q249xlhWWNWsGq/*/2336110-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/527N6lD2q249xlhWWNWsGq/*/2336110-1_thumb.jpg/JPG,20241019
RESOLUCION MINISTERIAL,,N° 01144-2024-DE,2336114-1,2,558,2068,"Autorizan viaje de Director General del Centro de Altos Estudios Nacionales - Escuela de Posgrado y de Jefe de la Oficina de Relaciones Interinstitucionales y Cooperación Internacional del CAEN-EPG a México, en comisión de servicios",RESOLUCION MINISTERIAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/AGVJiRHk4sA9eT5tdWrPIY/*/2336114-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/AGVJiRHk4sA9eT5tdWrPIY/*/2336114-1_thumb.jpg/JPG,20241019
DECRETO SUPREMO,,N° 190-2024-EF,2336206-2,2,558,2069,"Decreto Supremo que aprueba la formalización de los Créditos Suplementarios del Segundo Trimestre del Año Fiscal 2024, en el presupuesto consolidado de las empresas y organismos públicos de los gobiernos regionales y gobiernos locales",DECRETO SUPREMO,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/6VDIDBvIaM-9SPqr4pNPJl/*/2336206-2.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/6VDIDBvIaM-9SPqr4pNPJl/*/2336206-2_thumb.jpg/JPG,20241019
RESOLUCION SUPREMA,,N° 032-2024-EF,2336206-9,2,558,2069,Resolución Suprema que modifica la conformación de la Comisión Consultiva para el Desarrollo de la Infraestructura Nacional,RESOLUCION SUPREMA,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/7H0Ru1u6KseBvxSGUoZqLX/*/2336206-9.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/7H0Ru1u6KseBvxSGUoZqLX/*/2336206-9_thumb.jpg/JPG,20241019
DECRETO SUPREMO,,N° 191-2024-EF,2336227-2,2,558,2069,Decreto Supremo que autoriza transferencia de partidas en el presupuesto del Sector Público para el Año Fiscal 2024 a favor del pliego Gobierno Regional del departamento de Moquegua,DECRETO SUPREMO,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/4qKLGvdEabu8nkSs-ZJ5Zj/*/2336227-2.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/4qKLGvdEabu8nkSs-ZJ5Zj/*/2336227-2_thumb.jpg/JPG,20241019
